#time MDC0  MDC1   DC2    DC3    0-2    1-3    1-2    2-3
273  0.360  0.320  0.059  0.072  0.340  0.000  0.313  0.034  # 199 jobs, 1.990 load
274  0.320  0.390  0.056  0.078  0.363  0.000  0.297  0.036  # 205 jobs, 2.050 load
275  0.370  0.320  0.057  0.085  0.410  0.000  0.293  0.041  # 211 jobs, 2.110 load
276  0.400  0.320  0.074  0.083  0.393  0.000  0.397  0.039  # 229 jobs, 2.290 load
277  0.380  0.380  0.083  0.073  0.377  0.000  0.413  0.038  # 232 jobs, 2.320 load
278  0.470  0.390  0.080  0.070  0.360  0.000  0.400  0.036  # 236 jobs, 2.360 load
279  0.480  0.390  0.078  0.084  0.467  0.000  0.380  0.047  # 249 jobs, 2.490 load
280  0.450  0.480  0.092  0.092  0.457  0.000  0.457  0.046  # 277 jobs, 2.770 load
281  0.490  0.270  0.060  0.091  0.470  0.000  0.297  0.047  # 227 jobs, 2.270 load
282  0.630  0.320  0.077  0.095  0.507  0.000  0.370  0.051  # 267 jobs, 2.670 load
