,,,,instant,0,1,2,3,(0-2),(1-3),(1-2),(2-3)
,,,,222,0.170,0.220,0.044,0.065,0.230,0.000,0.220,0.023
,,,,223,0.190,0.250,0.044,0.048,0.210,0.000,0.243,0.021
,,,,224,0.170,0.230,0.048,0.048,0.223,0.000,0.217,0.022
,,,,225,0.190,0.220,0.049,0.046,0.217,0.000,0.207,0.022
,,,,226,0.190,0.120,0.056,0.036,0.183,0.000,0.213,0.018
,,,,227,0.270,0.180,0.058,0.030,0.183,0.000,0.260,0.018
,,,,228,0.260,0.210,0.058,0.044,0.243,0.000,0.240,0.024
,,,,229,0.320,0.250,0.070,0.041,0.227,0.000,0.293,0.023
,,,,230,0.280,0.300,0.051,0.044,0.210,0.000,0.257,0.021
,,,,231,0.200,0.250,0.063,0.030,0.173,0.000,0.287,0.017
,,,,232,0.180,0.190,0.052,0.029,0.157,0.000,0.233,0.016
,,,,233,0.160,0.180,0.057,0.028,0.133,0.000,0.250,0.013
,,,,234,0.110,0.210,0.053,0.024,0.113,0.000,0.243,0.011
,,,,235,0.110,0.220,0.053,0.021,0.100,0.000,0.250,0.010
,,,,236,0.120,0.220,0.058,0.024,0.113,0.000,0.260,0.011
,,,,237,0.050,0.270,0.057,0.016,0.070,0.000,0.280,0.007
,,,,238,0.040,0.230,0.049,0.015,0.070,0.000,0.240,0.007
,,,,239,0.060,0.300,0.056,0.009,0.047,0.000,0.283,0.005
,,,,240,0.040,0.350,0.058,0.006,0.033,0.000,0.320,0.003
,,,,241,0.030,0.250,0.056,0.002,0.017,0.000,0.290,0.002
,,,,242,0.050,0.290,0.049,0.003,0.027,0.000,0.257,0.003
,,,,243,0.040,0.290,0.050,0.003,0.023,0.000,0.253,0.002
,,,,244,0.060,0.290,0.053,0.003,0.030,0.000,0.290,0.003
,,,,245,0.050,0.330,0.037,0.005,0.033,0.000,0.227,0.003
,,,,246,0.070,0.310,0.043,0.009,0.053,0.000,0.243,0.005
,,,,247,0.100,0.400,0.050,0.015,0.090,0.000,0.287,0.009
,,,,248,0.070,0.320,0.048,0.020,0.087,0.000,0.273,0.009
,,,,249,0.080,0.330,0.057,0.018,0.083,0.000,0.297,0.008
,,,,250,0.100,0.310,0.072,0.019,0.093,0.000,0.360,0.009
,,,,251,0.100,0.270,0.049,0.028,0.130,0.000,0.247,0.013
,,,,252,0.120,0.380,0.054,0.028,0.133,0.000,0.300,0.013
,,,,253,0.160,0.310,0.044,0.026,0.137,0.000,0.247,0.014
,,,,254,0.210,0.300,0.049,0.032,0.163,0.000,0.267,0.016
,,,,255,0.180,0.350,0.039,0.035,0.180,0.000,0.243,0.018
,,,,256,0.200,0.290,0.044,0.044,0.213,0.000,0.257,0.021
,,,,257,0.220,0.250,0.055,0.044,0.210,0.000,0.300,0.021
,,,,258,0.300,0.240,0.047,0.047,0.250,0.000,0.250,0.025
,,,,259,0.320,0.160,0.053,0.061,0.293,0.000,0.230,0.029
,,,,260,0.330,0.220,0.055,0.048,0.273,0.000,0.257,0.027
,,,,261,0.360,0.330,0.054,0.064,0.340,0.000,0.343,0.034
,,,,262,0.290,0.300,0.059,0.060,0.293,0.000,0.290,0.029
,,,,263,0.360,0.440,0.068,0.062,0.373,0.000,0.407,0.037
,,,,264,0.280,0.420,0.068,0.063,0.290,0.000,0.367,0.029
,,,,265,0.230,0.450,0.065,0.078,0.357,0.000,0.357,0.036
,,,,266,0.230,0.350,0.067,0.091,0.427,0.000,0.340,0.043
,,,,267,0.220,0.410,0.064,0.069,0.317,0.000,0.343,0.032
,,,,268,0.290,0.520,0.063,0.078,0.343,0.000,0.343,0.034
,,,,269,0.230,0.390,0.079,0.059,0.273,0.000,0.377,0.027
,,,,270,0.270,0.510,0.097,0.070,0.323,0.000,0.480,0.032
,,,,271,0.270,0.410,0.078,0.084,0.377,0.000,0.397,0.038
,,,,272,0.240,0.490,0.074,0.079,0.353,0.000,0.377,0.035
,,,,273,0.360,0.320,0.059,0.072,0.340,0.000,0.313,0.034
,,,,274,0.320,0.390,0.056,0.078,0.363,0.000,0.297,0.036
,,,,275,0.370,0.320,0.057,0.085,0.410,0.000,0.293,0.041
,,,,276,0.400,0.320,0.074,0.083,0.393,0.000,0.397,0.039
,,,,277,0.380,0.380,0.083,0.073,0.377,0.000,0.413,0.038
,,,,278,0.470,0.390,0.080,0.070,0.360,0.000,0.400,0.036
,,,,279,0.480,0.390,0.078,0.084,0.467,0.000,0.380,0.047
,,,,280,0.450,0.480,0.092,0.092,0.457,0.000,0.457,0.046
,,,,281,0.490,0.270,0.060,0.091,0.470,0.000,0.297,0.047
,,,,282,0.630,0.320,0.077,0.095,0.507,0.000,0.370,0.051
,,,,283,0.740,0.370,0.062,0.112,0.600,0.000,0.270,0.060
,,,,284,0.460,0.170,0.072,0.081,0.407,0.000,0.300,0.041
,,,,285,0.650,0.210,0.071,0.091,0.540,0.000,0.303,0.054
,,,,286,0.590,0.250,0.082,0.079,0.470,0.000,0.363,0.047
,,,,287,0.740,0.310,0.056,0.103,0.643,0.000,0.290,0.064
,,,,288,0.550,0.350,0.076,0.111,0.540,0.000,0.347,0.054
,,,,289,0.530,0.330,0.060,0.109,0.553,0.000,0.310,0.055
,,,,290,0.490,0.310,0.068,0.112,0.520,0.000,0.330,0.052
,,,,291,0.420,0.280,0.068,0.098,0.490,0.000,0.320,0.049
,,,,292,0.420,0.320,0.064,0.102,0.473,0.000,0.317,0.047
,,,,293,0.480,0.440,0.050,0.128,0.573,0.000,0.280,0.057
,,,,294,0.450,0.310,0.041,0.110,0.517,0.000,0.240,0.052
,,,,295,0.540,0.380,0.047,0.092,0.483,0.000,0.277,0.048
,,,,296,0.710,0.340,0.059,0.094,0.503,0.000,0.300,0.050
,,,,297,0.580,0.310,0.051,0.099,0.523,0.000,0.287,0.052
,,,,298,0.600,0.190,0.060,0.089,0.497,0.000,0.250,0.050
,,,,299,0.490,0.240,0.043,0.102,0.503,0.000,0.220,0.050
,,,,300,0.480,0.290,0.041,0.108,0.513,0.000,0.220,0.051
,,,,301,0.390,0.310,0.039,0.098,0.450,0.000,0.223,0.045
,,,,302,0.460,0.260,0.057,0.106,0.507,0.000,0.267,0.051
