selected,total,duration,solving_time,instant,1,2,3,"(1, 3)","(2, 3)","(3, 1)","(3, 2)","(4, 3)"
0.0,0.0,0.0,0.0,185.0,0.0,0.54,0.054,0.18,0.0,0.0,0.18,0.018
0.0,0.0,0.0,0.0,186.0,0.0,0.51,0.051,0.17,0.0,0.0,0.17,0.017
0.0,0.0,0.0,0.0,187.0,0.0,0.48,0.048,0.16,0.0,0.0,0.16,0.016
0.0,0.0,0.0,0.0,188.0,0.0,0.45,0.045,0.15,0.0,0.0,0.15,0.015
0.0,0.0,0.0,0.0,189.0,0.0,0.42,0.042,0.14,0.0,0.0,0.14,0.014
0.0,0.0,0.0,0.0,190.0,0.0,0.39,0.039,0.13,0.0,0.0,0.13,0.013
0.0,0.0,0.0,0.0,191.0,0.0,0.36,0.036,0.12,0.0,0.0,0.12,0.012
0.0,0.0,0.0,0.0,192.0,0.09,0.33,0.024,0.08,0.0,0.015,0.11,0.011
0.0,0.0,0.0,0.0,193.0,0.15,0.3,0.015,0.05,0.0,0.025,0.1,0.01
0.0,0.0,0.0,0.0,194.0,0.21,0.27,0.006,0.02,0.0,0.035,0.09,0.009
0.0,0.0,0.0,0.0,195.0,0.24,0.24,0.0,0.0,0.0,0.04,0.08,0.008
0.0,0.0,0.0,0.0,196.0,0.21,0.21,0.0,0.0,0.0,0.035,0.07,0.007
0.0,0.0,0.0,0.0,197.0,0.18,0.18,0.0,0.0,0.0,0.03,0.06,0.006
0.0,0.0,0.0,0.0,198.0,0.15,0.15,0.0,0.0,0.0,0.025,0.05,0.005
0.0,0.0,0.0,0.0,199.0,0.12,0.12,0.0,0.0,0.0,0.02,0.04,0.004
0.0,0.0,0.0,0.0,200.0,0.09,0.09,0.0,0.0,0.0,0.015,0.03,0.003
0.0,0.0,0.0,0.0,201.0,0.06,0.06,0.0,0.0,0.0,0.01,0.02,0.002
0.0,0.0,0.0,0.0,202.0,0.03,0.03,0.0,0.0,0.0,0.005,0.01,0.001
0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
